datetime,open,high,low,close,volume
2023-10-03 13:15:00,172.27,172.31,171.9649,172.0018,914439
2023-10-03 13:00:00,172.55,172.80499,172.12,172.27,1317508
2023-10-03 12:45:00,172.4257,172.69,172.36,172.56,1185882
2023-10-03 12:30:00,172.28,172.67,172.24001,172.42999,1309711
2023-10-03 12:15:00,171.99001,172.36501,171.92,172.26401,1253102
2023-10-03 12:00:00,171.7482,172.09,171.69,172.00031,1224959
2023-10-03 11:45:00,171.8,171.84,171.42999,171.75,886129
2023-10-03 11:30:00,171.64,171.84,171.36,171.81,1128724
2023-10-03 11:15:00,171.84,171.985,171.55,171.63,1368952
2023-10-03 11:00:00,171.5,171.88,171.39,171.83501,1825857
2023-10-03 10:45:00,171.755,171.79469,171.31,171.50999,1736857
2023-10-03 10:30:00,171.17999,171.89999,171.07001,171.75011,1812206
2023-10-03 10:15:00,171.28999,171.41,170.82001,171.1718,2324711
2023-10-03 10:00:00,173.27,173.3,171.28,171.28999,3391199
2023-10-03 09:45:00,173.06,173.63,172.89999,173.27,2299787
2023-10-03 09:30:00,172.255,173.36,172.21001,173.08,3746191
2023-10-02 15:45:00,172.94,173.78,172.75,173.75,4815686
2023-10-02 15:30:00,173.0,173.24001,172.86,172.95,1604790
2023-10-02 15:15:00,172.77,173.21001,172.77,173.0,1675728
2023-10-02 15:00:00,172.88,173.08,172.533,172.78,1238036
2023-10-02 14:45:00,172.66,173.03,172.64999,172.89,899035
2023-10-02 14:30:00,172.782,172.97,172.61,172.64999,913968
2023-10-02 14:15:00,173.66,173.71001,172.77,172.7899,1188588
2023-10-02 14:00:00,173.13,173.67999,172.98,173.66499,1226571
2023-10-02 13:45:00,173.38,173.5799,173.11,173.13,945488
2023-10-02 13:30:00,173.31,173.4599,173.1601,173.38901,753011
2023-10-02 13:15:00,172.78999,173.405,172.77991,173.31,905523
2023-10-02 13:00:00,173.185,173.31,172.73,172.78,1067869
2023-10-02 12:45:00,173.2,173.38499,173.02,173.17999,919022
2023-10-02 12:30:00,173.36,173.47,173.17999,173.19,859788
2023-10-02 12:15:00,173.2693,173.53,173.11,173.35001,1437347
2023-10-02 12:00:00,173.09,173.25999,172.82001,173.25999,1053958
2023-10-02 11:45:00,173.44501,173.60001,172.925,173.08,1400878
2023-10-02 11:30:00,174.12,174.21001,173.42,173.45,1433756
2023-10-02 11:15:00,173.69501,174.3,173.61,174.1046,1822951
2023-10-02 11:00:00,173.00999,173.74001,172.955,173.71001,1544542
2023-10-02 10:45:00,173.34,173.64999,172.84,173.009,1650611
2023-10-02 10:30:00,173.35001,173.78,172.97,173.3345,1919189
2023-10-02 10:15:00,173.32001,174.00999,173.25999,173.33,2124533
2023-10-02 10:00:00,172.94,174.03999,172.8,173.32961,3019780
2023-10-02 09:45:00,173.17999,173.25,172.81,172.94,2170111
2023-10-02 09:30:00,171.22,173.21001,170.92999,173.17999,5088132
2023-09-29 15:45:00,170.98,171.92,170.75999,171.22,4827370
2023-09-29 15:30:00,171.28,171.42,170.97,170.98,1617937
2023-09-29 15:15:00,171.2999,171.49989,171.03999,171.2899,1450450
2023-09-29 15:00:00,171.55,171.71001,171.14999,171.285,1403692
2023-09-29 14:45:00,170.89101,171.565,170.8,171.5401,1420292
2023-09-29 14:30:00,170.545,170.99001,170.341,170.89,1230572
2023-09-29 14:15:00,170.62,171.0,170.42,170.53999,1059857
2023-09-29 14:00:00,170.62,170.72,170.38,170.63,1244868
2023-09-29 13:45:00,171.14,171.19,170.62,170.63,823676
2023-09-29 13:30:00,171.23,171.3,171.021,171.14999,801744
2023-09-29 13:15:00,170.91,171.25,170.73,171.23,917733
2023-09-29 13:00:00,171.33,171.33,170.78,170.92,1060439
2023-09-29 12:45:00,171.57001,171.8,171.17,171.325,1078652
2023-09-29 12:30:00,171.84,171.92999,171.53,171.55,666266
2023-09-29 12:15:00,171.63,172.08,171.53011,171.83501,699376
2023-09-29 12:00:00,171.94,172.09,171.57001,171.64,875060
2023-09-29 11:45:00,171.73219,172.0,171.61,171.9301,1185981
2023-09-29 11:30:00,172.06,172.09,171.58,171.729,1256419
2023-09-29 11:15:00,172.31,172.75999,172.02,172.06,1207779
2023-09-29 11:00:00,172.44,172.59,172.23,172.3,1471849
2023-09-29 10:45:00,172.47501,172.77,172.36,172.435,1237908
2023-09-29 10:30:00,172.27,172.6199,172.21001,172.48,1515031
2023-09-29 10:15:00,172.56,172.63,172.03999,172.25,1709398
2023-09-29 10:00:00,172.7,173.07001,172.435,172.56,2364010
2023-09-29 09:45:00,172.13,172.80009,171.77,172.69769,2564833
2023-09-29 09:30:00,172.02,172.67,171.81059,172.12,4411066
2023-09-28 15:45:00,170.8205,170.9657,170.44,170.69,3882275
2023-09-28 15:30:00,171.58,171.64,170.64,170.82001,1842567
2023-09-28 15:15:00,171.07001,171.67999,171.045,171.58,1327210
